experiment_step,requirement,status,evidence_summary,source_evidence,required_action
A0,Stable snapshot and provenance,PARTIAL_PASS,Phase2A-0 source snapshot and hashes exist; canonical independent-test path is blocked,Phase2A-0 source audit; D-drive inventory,Use retrospective positioning; keep source snapshot immutable
A1,Theoretical grid and loss funnel,PARTIAL_PASS_WITH_BOUNDARY_MISMATCH,"Old PD panel has 100,980 rows including two partial boundary hours; Phase2A complete-hour denominator is 100,878",PD phase1 report; Phase2A-0 denominator comparison,Use complete-hour grid for new Phase2A runs; do not mix denominators
A2,Qualification and cleaning freeze,DEFINITION_FROZEN_NOT_EXECUTED,Phase2A-0 cleaning policy exists; no Phase2A-1 result files,PROPOSED_CLEANING_POLICY.yaml; REORGANIZATION_VERIFICATION.json,Execute only under a new retrospective rolling-origin run
A3,"2/4, 3/4, 4/4 aggregation sensitivity",NOT_EXECUTED,No matching completed result set found,D-drive research asset scan,Run prespecified sensitivity if retained in manuscript
A4,Future-window mean H1/H3/H6 target,PARTIAL_PASS_WITH_H6_BOUNDARY_MISMATCH,"Old PD Phase13 uses the matching future-window-mean target and H1/H3/H6; however, it uses the old split and 51 H6 test samples extend to 2026-03-01 00:00 beyond the Phase2A complete-hour grid.",phase13 config/code/predictions; Phase2A target policy,Reusable for exploratory/historical evidence only
A5,Six-fold common-sample manifest and leakage assertions,NOT_EXECUTED_FOR_SIX_FOLD,Old window index passes same-split leakage checks but has one 70/15/15 split and no six-fold manifest,window_index_all.csv; Phase2 report,Generate new fold-aware sample manifest before formal benchmark
A6,Model interface smoke and metric recomputation,PARTIAL_PASS,Phase13 has 105 prediction files and validation; current audit independently recomputes metrics,phase13 validation and current metric audit,Repeat interface checks in the Phase2A rolling-origin implementation
A7,Six-fold multi-horizon benchmark,NOT_EXECUTED,No canonical six-fold future-window-mean result set found,D-drive scan; Phase2A status,Required for primary manuscript evidence
A8,Cross-fold stability,NOT_EXECUTED,No six-fold Phase2A results,D-drive scan,Cannot claim temporal/fold stability yet
A9,Quality/reliability stratification,PARTIAL_OLD_SPLIT,Phase17 stratification exists for TCN on the old test split,phase17 tables/reports,Use as exploratory evidence only or rerun by fold
A10,Node/date/traffic-state diagnostics,PARTIAL_OLD_SPLIT,"Coverage/volatility/traffic-state analyses exist, but not fold-aware Phase2A diagnostics",phase17 tables/reports,Recompute on common fold samples
A11,Dependence-aware paired statistics,NONCOMPLIANT_OLD_ANALYSIS,Phase14 pools tens of thousands of sample pairs; no node-day or moving-block primary inference,phase14 statistical tables,Replace primary inference with fold/day/block clustered analysis
A12,Exposed final-week historical supplement,AVAILABLE_WITH_CONTAMINATION,v2.2 point-target P7/P8 artifacts exist and are explicitly contaminated retrospective evidence,v2.2 target and contamination audits,Keep separate from future-window-mean primary tables
A13,Reproducibility and traceability freeze,PARTIAL,"Several manifests and hashes exist, but no completed Phase2A A0-A12 chain",Phase2A-0 package; legacy PD audit packages,Freeze only after new Phase2A benchmark and corrected statistics
