issue_id,severity,issue,evidence,direction_of_bias,paper_impact,required_action
B01,CRITICAL,Canonical six-fold rolling-origin experiment not executed,Phase2A0 status BLOCKED and zero Phase2A1 result files; no matching six-fold future-window-mean result set found,Primary temporal generalization remains unmeasured,Blocks primary Results claims about six-fold stability and deployment boundaries,Run a newly versioned retrospective six-fold rolling-origin benchmark
B02,CRITICAL,v2.2 point-target results do not match manuscript target,v2.2 audit identifies POINT_SPEED; manuscript requires FUTURE_WINDOW_MEAN_SPEED,MAE values are not directly comparable; window averaging usually smooths targets,P6-P8 cannot populate main H1/H3/H6 tables,Use v2.2 only as clearly separated historical supplementary evidence
B03,HIGH,Legacy Phase13 uses one 70/15/15 chronological split,window_index and split configuration contain train/val/test only,Performance may depend strongly on one chosen test interval,Cannot support cross-fold stability or robust temporal deployment claims,Recompute on six frozen rolling origins
B04,HIGH,Original Phase14 inference unit is pooled sample-level,"n_pairs around 59k-61k per comparison across repeated nodes, times and seeds",Pseudo-replication can make p-values artificially small,Existing significance stars are not sufficient evidence,Use fold/day/node-day or moving-block clustered inference with Holm correction
B05,HIGH,Final week was exposed during prior development,Phase2A0 blind-test audit marks contaminated test,Study-level blindness is lost,Independent blind-test claim is prohibited,Describe all final-week results as retrospective historical evaluation
B06,MEDIUM,Legacy panel includes two incomplete boundary hours,"100,980 rows versus complete-hour 100,878; extra 51-node hours at 2025-12-08 13:00 and 2026-03-01 00:00",Small denominator and boundary-definition discrepancy,Counts and availability rates can differ by 102 rows,Use the Phase2A complete-hour denominator consistently
B07,MEDIUM,Eligibility thresholds condition evaluation on sufficiently observed windows,input and target observed ratios must be at least 0.80,Harder low-coverage windows are partly excluded,"Reported error is conditional, not unconditional corridor performance",Publish the loss funnel and stratified performance by coverage
B08,MEDIUM,H6 future-window mean smooths hourly extremes,truth equals mean of t+1 through t+6 with at least five observed hours,Longer-horizon MAE can appear lower than H1 due to target smoothing,Do not interpret decreasing MAE with horizon as easier point forecasting,Explain target aggregation and report scale/variance by horizon
B09,MEDIUM,Phase13 model set does not include CRG-TCN,"105 files cover HA, SeasonalHA, Persistence, XGBoost, GRU, TCN and ST-Transformer-lite",Cannot infer CRG-TCN performance from TCN results,Blocks CRG-TCN superiority claims under Phase2A target,Include CRG-TCN only in a fair rerun of all declared models
B10,MEDIUM,Phase17 quality analyses use the same old test split,Stratified tables are derived from Phase13/legacy predictions,Stratum findings may be period-specific,Reliability conclusions are exploratory,Repeat stratification within each rolling fold and summarize stability
B11,LOW,Many duplicated archives and manuscript packages exist,D-drive inventory finds repeated reports/configs/packages,Version-selection and stale-result risk,Wrong duplicate can enter a manuscript table,Use canonical-path and SHA-256 registry in this audit package
B12,LOW,Environmental T2 data belongs to another multimodal scope,"D:\2026_T2_ENV contains rainfall, weather, air-quality and event panels",Mixing projects changes the research question and feature set,Could misstate the AJSE sparse-FCD-only design,Keep outside the canonical Phase2A result set unless a new multimodal study is declared
B13,HIGH,Legacy Phase13 H6 includes one target hour beyond the canonical complete-hour grid,51 H6 test samples per prediction file start at 2026-02-28 19:00 and end at 2026-03-01 00:00; Phase2A grid ends at 2026-02-28 23:00,H6 sample set and MAE differ slightly when the boundary hour is excluded,Legacy H6 values are not exactly aligned with the Phase2A denominator/sample definition,Do not transplant legacy H6 values into canonical Phase2A tables; use the complete-hour grid in the new run
